U[m/s] mean_x1[m] std_x1[m] mean_x2[m] std_x2[m]
4.000000000000000000e+00 2.008093159282758611e-01 4.000538485362877678e-02 6.887162301503417516e-02 1.835578588444580078e-02
5.000000000000000000e+00 3.125076634260949282e-01 6.238717701725600417e-02 1.071780008135451157e-01 2.795401705960869065e-02
6.000000000000000000e+00 4.427042936543448270e-01 8.864598130173850787e-02 1.518322154322056250e-01 3.906923590176852867e-02
7.000000000000000000e+00 5.719819775453334199e-01 1.149677501266091473e-01 1.961645103570333337e-01 5.035373593791517277e-02
8.000000000000000000e+00 7.088267751920607207e-01 1.428851618514261068e-01 2.430985114310029727e-01 6.234775126636674797e-02
9.000000000000000000e+00 8.972142325205711977e-01 1.803194603321045253e-01 3.077122642380765161e-01 7.788330711776600412e-02
1.000000000000000000e+01 1.107563145268980920e+00 2.221650316037248329e-01 3.798576999760760464e-01 9.509551888849898660e-02
1.100000000000000000e+01 1.340093320875079597e+00 2.680838452594587196e-01 4.595861550867506029e-01 1.138840045307630139e-01
1.200000000000000000e+01 1.130758423604481422e+00 2.326176176764183645e-01 3.878054148458420780e-01 1.037104895546807765e-01
1.300000000000000000e+01 9.637930274463950564e-01 2.046305472284571103e-01 3.305313752158741125e-01 9.585567062647297465e-02
1.400000000000000000e+01 8.617583771934230752e-01 1.885220490027316731e-01 2.955475733715541287e-01 9.199847893768985096e-02
1.500000000000000000e+01 7.932630006248366783e-01 1.785286050788376933e-01 2.720565518137792460e-01 9.020193696740082256e-02
1.600000000000000000e+01 7.353991409351899877e-01 1.703469164116379331e-01 2.522232487850944449e-01 8.885392161780417131e-02
1.700000000000000000e+01 6.886277615608824565e-01 1.641089553868871620e-01 2.361837253384389823e-01 8.804839739849268376e-02
1.800000000000000000e+01 6.529070198313227102e-01 1.598910021313420526e-01 2.239235564228293784e-01 8.789839039082392169e-02
1.900000000000000000e+01 6.193839256457606135e-01 1.559351997196352091e-01 2.124356171378570246e-01 8.767972771439863644e-02
2.000000000000000000e+01 5.937355659778498218e-01 1.534060891744236654e-01 2.036369356046921486e-01 8.791825630951641268e-02
2.100000000000000000e+01 5.705137991299920053e-01 1.512505841399429118e-01 1.956627421548004508e-01 8.820097051224727591e-02
2.200000000000000000e+01 5.536652357654344714e-01 1.502743004518105330e-01 1.898929490510504747e-01 8.891506886568195656e-02
2.300000000000000000e+01 5.331060125210081990e-01 1.484031533734991304e-01 1.828406665599817404e-01 8.907425980270838872e-02
2.400000000000000000e+01 5.177213146244302733e-01 1.474818489131864974e-01 1.775510941739714688e-01 8.960374804196195864e-02
2.500000000000000000e+01 5.021823746785982756e-01 1.464435925757801016e-01 1.722256767884596806e-01 8.997127359353911114e-02
